,Label,Path
0,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_0.jpg
1,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1.jpg
2,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_10.jpg
3,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_100.jpg
4,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1000.jpg
5,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1001.jpg
6,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1002.jpg
7,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1003.jpg
8,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1004.jpg
9,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1005.jpg
10,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1006.jpg
11,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1007.jpg
12,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1008.jpg
13,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1009.jpg
14,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_101.jpg
15,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1010.jpg
16,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1011.jpg
17,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1012.jpg
18,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1013.jpg
19,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1014.jpg
20,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1015.jpg
21,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1016.jpg
22,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1017.jpg
23,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1018.jpg
24,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1019.jpg
25,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_102.jpg
26,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1020.jpg
27,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1021.jpg
28,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1022.jpg
29,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1023.jpg
30,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1024.jpg
31,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1025.jpg
32,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1026.jpg
33,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1027.jpg
34,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1028.jpg
35,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1029.jpg
36,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_103.jpg
37,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1030.jpg
38,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1031.jpg
39,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1032.jpg
40,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1033.jpg
41,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1034.jpg
42,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1035.jpg
43,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1036.jpg
44,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1037.jpg
45,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1038.jpg
46,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1039.jpg
47,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_104.jpg
48,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1040.jpg
49,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1041.jpg
50,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1042.jpg
51,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1043.jpg
52,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1044.jpg
53,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1045.jpg
54,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1046.jpg
55,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1047.jpg
56,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1048.jpg
57,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1049.jpg
58,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_105.jpg
59,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1050.jpg
60,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1051.jpg
61,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1052.jpg
62,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1053.jpg
63,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1054.jpg
64,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1055.jpg
65,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1056.jpg
66,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1057.jpg
67,cat,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_cats/cat_1058.jpg
