,Label,Path
0,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_0.jpg
1,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1.jpg
2,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_10.jpg
3,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_100.jpg
4,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1000.jpg
5,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1001.jpg
6,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1002.jpg
7,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1003.jpg
8,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1004.jpg
9,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1005.jpg
10,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1006.jpg
11,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1007.jpg
12,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1008.jpg
13,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1009.jpg
14,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_101.jpg
15,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1010.jpg
16,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1011.jpg
17,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1012.jpg
18,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1013.jpg
19,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1014.jpg
20,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1015.jpg
21,dog,/Users/drjamesmugume/Documents/GitHub/Cats And Dogs/train/train_dogs/dog_1016.jpg
